# Columns: Geocoded box,CDI,No. of responses,Hypocentral distance,Latitude,Longitude,Suspect?,City,State
"UTM:(11T 0511 4488 1000)",2.7,1,180,40.5472,-116.8642,0,"UTM:(11T 0511 4488 1000)",""
"UTM:(11T 0512 4837 1000)",3.4,1,326,43.6904,-116.8449,0,"UTM:(11T 0512 4837 1000)",""
"UTM:(11T 0513 4491 1000)",4.1,2,177,40.5742,-116.8405,0,"UTM:(11T 0513 4491 1000)",""
"UTM:(11T 0514 4490 1000)",4.1,1,177,40.5651,-116.8287,0,"UTM:(11T 0514 4490 1000)",""
"UTM:(11T 0514 4865 1000)",3.4,1,349,43.9425,-116.8194,0,"UTM:(11T 0514 4865 1000)",""
"UTM:(11T 0516 4492 1000)",2.7,1,174,40.5831,-116.8050,0,"UTM:(11T 0516 4492 1000)",""
"UTM:(11T 0517 4488 1000)",2.0,1,175,40.5471,-116.7933,0,"UTM:(11T 0517 4488 1000)",""
"UTM:(11T 0518 4494 1000)",6.1,1,172,40.6011,-116.7814,0,"UTM:(11T 0518 4494 1000)",""
"UTM:(11T 0520 4831 1000)",2.1,1,316,43.6362,-116.7458,0,"UTM:(11T 0520 4831 1000)",""
"UTM:(11T 0520 4835 1000)",3.4,1,320,43.6722,-116.7457,0,"UTM:(11T 0520 4835 1000)",""
"UTM:(11T 0521 4831 1000)",2.7,1,316,43.6362,-116.7335,0,"UTM:(11T 0521 4831 1000)",""
"UTM:(11T 0523 4842 1000)",1.0,1,325,43.7352,-116.7082,0,"UTM:(11T 0523 4842 1000)",""
"UTM:(11T 0524 4833 1000)",2.0,1,316,43.6541,-116.6962,0,"UTM:(11T 0524 4833 1000)",""
"UTM:(11T 0524 4839 1000)",2.0,1,322,43.7081,-116.6959,0,"UTM:(11T 0524 4839 1000)",""
"UTM:(11T 0525 4861 1000)",3.1,1,341,43.9062,-116.6824,0,"UTM:(11T 0525 4861 1000)",""
"UTM:(11T 0528 4830 1000)",2.5,1,312,43.6270,-116.6467,0,"UTM:(11T 0528 4830 1000)",""
"UTM:(11T 0528 4841 1000)",2.0,1,321,43.7260,-116.6462,0,"UTM:(11T 0528 4841 1000)",""
"UTM:(11T 0528 4856 1000)",2.0,1,335,43.8610,-116.6454,0,"UTM:(11T 0528 4856 1000)",""
"UTM:(11T 0530 4822 1000)",2.7,1,304,43.5548,-116.6224,0,"UTM:(11T 0530 4822 1000)",""
"UTM:(11T 0532 4814 1000)",2.2,1,296,43.4827,-116.5981,0,"UTM:(11T 0532 4814 1000)",""
"UTM:(11T 0532 4820 1000)",2.2,1,301,43.5367,-116.5977,0,"UTM:(11T 0532 4820 1000)",""
"UTM:(11T 0532 4822 1000)",2.0,1,303,43.5547,-116.5976,0,"UTM:(11T 0532 4822 1000)",""
"UTM:(11T 0533 4822 1000)",2.0,1,302,43.5547,-116.5853,0,"UTM:(11T 0533 4822 1000)",""
"UTM:(11T 0533 4824 1000)",2.0,1,304,43.5727,-116.5851,0,"UTM:(11T 0533 4824 1000)",""
"UTM:(11T 0533 4825 1000)",2.7,1,305,43.5817,-116.5850,0,"UTM:(11T 0533 4825 1000)",""
"UTM:(11T 0533 4826 1000)",2.0,1,306,43.5907,-116.5850,0,"UTM:(11T 0533 4826 1000)",""
"UTM:(11T 0534 4811 1000)",3.8,1,292,43.4556,-116.5736,0,"UTM:(11T 0534 4811 1000)",""
"UTM:(11T 0534 4815 1000)",3.1,1,296,43.4916,-116.5733,0,"UTM:(11T 0534 4815 1000)",""
"UTM:(11T 0534 4820 1000)",3.3,2,300,43.5367,-116.5730,0,"UTM:(11T 0534 4820 1000)",""
"UTM:(11T 0534 4841 1000)",2.5,1,319,43.7257,-116.5717,0,"UTM:(11T 0534 4841 1000)",""
"UTM:(11T 0535 4824 1000)",2.2,3,303,43.5726,-116.5603,0,"UTM:(11T 0535 4824 1000)",""
"UTM:(11T 0535 4825 1000)",2.5,2,304,43.5816,-116.5603,0,"UTM:(11T 0535 4825 1000)",""
"UTM:(11T 0535 4830 1000)",3.1,1,308,43.6266,-116.5600,0,"UTM:(11T 0535 4830 1000)",""
"UTM:(11T 0535 4842 1000)",2.7,1,319,43.7347,-116.5591,0,"UTM:(11T 0535 4842 1000)",""
"UTM:(11T 0536 4827 1000)",2.2,1,305,43.5996,-116.5478,0,"UTM:(11T 0536 4827 1000)",""
"UTM:(11T 0536 4829 1000)",1.0,1,307,43.6176,-116.5477,0,"UTM:(11T 0536 4829 1000)",""
"UTM:(11T 0536 4843 1000)",1.0,1,320,43.7437,-116.5466,0,"UTM:(11T 0536 4843 1000)",""
"UTM:(11T 0537 4822 1000)",2.5,1,300,43.5545,-116.5358,0,"UTM:(11T 0537 4822 1000)",""
"UTM:(11T 0537 4825 1000)",3.1,1,303,43.5815,-116.5355,0,"UTM:(11T 0537 4825 1000)",""
"UTM:(11T 0538 4821 1000)",2.0,1,299,43.5455,-116.5234,0,"UTM:(11T 0538 4821 1000)",""
"UTM:(11T 0538 4827 1000)",3.4,1,304,43.5995,-116.5230,0,"UTM:(11T 0538 4827 1000)",""
"UTM:(11T 0539 4826 1000)",1.0,1,303,43.5904,-116.5106,0,"UTM:(11T 0539 4826 1000)",""
"UTM:(11T 0540 4825 1000)",2.2,1,302,43.5814,-116.4983,0,"UTM:(11T 0540 4825 1000)",""
"UTM:(11T 0541 4829 1000)",2.7,2,305,43.6174,-116.4856,0,"UTM:(11T 0541 4829 1000)",""
"UTM:(11T 0541 4838 1000)",2.7,1,313,43.6984,-116.4849,0,"UTM:(11T 0541 4838 1000)",""
"UTM:(11T 0543 4842 1000)",2.0,1,316,43.7343,-116.4598,0,"UTM:(11T 0543 4842 1000)",""
"UTM:(11T 0546 4828 1000)",2.7,1,302,43.6080,-116.4238,0,"UTM:(11T 0546 4828 1000)",""
"UTM:(11T 0546 4829 1000)",2.7,1,303,43.6170,-116.4237,0,"UTM:(11T 0546 4829 1000)",""
"UTM:(11T 0546 4830 1000)",3.1,1,303,43.6260,-116.4237,0,"UTM:(11T 0546 4830 1000)",""
"UTM:(11T 0547 4827 1000)",2.5,1,300,43.5990,-116.4115,0,"UTM:(11T 0547 4827 1000)",""
"UTM:(11T 0547 4832 1000)",2.5,2,305,43.6440,-116.4110,0,"UTM:(11T 0547 4832 1000)",""
"UTM:(11T 0547 4833 1000)",2.2,1,306,43.6530,-116.4109,0,"UTM:(11T 0547 4833 1000)",""
"UTM:(11T 0547 4838 1000)",3.1,1,310,43.6980,-116.4106,0,"UTM:(11T 0547 4838 1000)",""
"UTM:(11T 0548 4825 1000)",3.3,1,298,43.5809,-116.3992,0,"UTM:(11T 0548 4825 1000)",""
"UTM:(11T 0548 4829 1000)",2.2,1,302,43.6169,-116.3989,0,"UTM:(11T 0548 4829 1000)",""
"UTM:(11T 0548 4830 1000)",2.0,1,303,43.6259,-116.3989,0,"UTM:(11T 0548 4830 1000)",""
"UTM:(11T 0548 4835 1000)",2.7,1,307,43.6710,-116.3983,0,"UTM:(11T 0548 4835 1000)",""
"UTM:(11T 0549 4825 1000)",2.2,1,298,43.5808,-116.3869,0,"UTM:(11T 0549 4825 1000)",""
"UTM:(11T 0549 4827 1000)",2.2,6,299,43.5988,-116.3868,0,"UTM:(11T 0549 4827 1000)",""
"UTM:(11T 0549 4828 1000)",3.1,1,300,43.6078,-116.3867,0,"UTM:(11T 0549 4828 1000)",""
"UTM:(11T 0549 4830 1000)",2.0,1,302,43.6258,-116.3864,0,"UTM:(11T 0549 4830 1000)",""
"UTM:(11T 0549 4838 1000)",2.0,1,309,43.6979,-116.3858,0,"UTM:(11T 0549 4838 1000)",""
"UTM:(11T 0549 4839 1000)",3.1,1,310,43.7069,-116.3856,0,"UTM:(11T 0549 4839 1000)",""
"UTM:(11T 0550 4825 1000)",2.5,2,297,43.5808,-116.3745,0,"UTM:(11T 0550 4825 1000)",""
"UTM:(11T 0550 4827 1000)",2.0,1,299,43.5987,-116.3743,0,"UTM:(11T 0550 4827 1000)",""
"UTM:(11T 0550 4829 1000)",3.4,1,301,43.6167,-116.3742,0,"UTM:(11T 0550 4829 1000)",""
"UTM:(11T 0550 4838 1000)",2.0,2,309,43.6978,-116.3732,0,"UTM:(11T 0550 4838 1000)",""
"UTM:(11T 0551 4815 1000)",3.1,1,288,43.4907,-116.3631,0,"UTM:(11T 0551 4815 1000)",""
"UTM:(11T 0551 4827 1000)",3.8,2,299,43.5987,-116.3620,0,"UTM:(11T 0551 4827 1000)",""
"UTM:(11T 0551 4829 1000)",3.1,1,300,43.6167,-116.3618,0,"UTM:(11T 0551 4829 1000)",""
"UTM:(11T 0551 4833 1000)",2.7,1,304,43.6527,-116.3613,0,"UTM:(11T 0551 4833 1000)",""
"UTM:(11T 0551 4836 1000)",2.0,1,307,43.6797,-116.3611,0,"UTM:(11T 0551 4836 1000)",""
"UTM:(11T 0552 4826 1000)",3.1,1,297,43.5896,-116.3496,0,"UTM:(11T 0552 4826 1000)",""
"UTM:(11T 0552 4827 1000)",2.7,2,298,43.5986,-116.3495,0,"UTM:(11T 0552 4827 1000)",""
"UTM:(11T 0552 4834 1000)",2.0,1,305,43.6617,-116.3488,0,"UTM:(11T 0552 4834 1000)",""
"UTM:(11T 0552 4837 1000)",2.7,1,307,43.6886,-116.3485,0,"UTM:(11T 0552 4837 1000)",""
"UTM:(11T 0552 4838 1000)",2.4,3,308,43.6976,-116.3484,0,"UTM:(11T 0552 4838 1000)",""
"UTM:(11T 0553 4827 1000)",3.4,2,298,43.5986,-116.3372,0,"UTM:(11T 0553 4827 1000)",""
"UTM:(11T 0553 4834 1000)",2.0,3,304,43.6615,-116.3364,0,"UTM:(11T 0553 4834 1000)",""
"UTM:(11T 0553 4836 1000)",2.0,1,306,43.6795,-116.3363,0,"UTM:(11T 0553 4836 1000)",""
"UTM:(11T 0554 4820 1000)",3.1,1,291,43.5354,-116.3254,0,"UTM:(11T 0554 4820 1000)",""
"UTM:(11T 0554 4821 1000)",2.0,1,292,43.5444,-116.3254,0,"UTM:(11T 0554 4821 1000)",""
"UTM:(11T 0554 4822 1000)",2.0,1,293,43.5534,-116.3253,0,"UTM:(11T 0554 4822 1000)",""
"UTM:(11T 0554 4824 1000)",2.0,2,295,43.5714,-116.3251,0,"UTM:(11T 0554 4824 1000)",""
"UTM:(11T 0554 4826 1000)",2.0,1,296,43.5894,-116.3248,0,"UTM:(11T 0554 4826 1000)",""
"UTM:(11T 0554 4828 1000)",2.7,1,298,43.6075,-116.3246,0,"UTM:(11T 0554 4828 1000)",""
"UTM:(11T 0554 4830 1000)",4.1,1,300,43.6255,-116.3244,0,"UTM:(11T 0554 4830 1000)",""
"UTM:(11T 0554 4832 1000)",2.0,1,302,43.6435,-116.3243,0,"UTM:(11T 0554 4832 1000)",""
"UTM:(11T 0554 4833 1000)",2.2,1,303,43.6525,-116.3242,0,"UTM:(11T 0554 4833 1000)",""
"UTM:(11T 0554 4834 1000)",2.5,7,304,43.6615,-116.3240,0,"UTM:(11T 0554 4834 1000)",""
"UTM:(11T 0554 4839 1000)",2.0,1,308,43.7066,-116.3236,0,"UTM:(11T 0554 4839 1000)",""
"UTM:(11T 0554 4840 1000)",2.7,1,309,43.7156,-116.3235,0,"UTM:(11T 0554 4840 1000)",""
"UTM:(11T 0555 4821 1000)",2.7,1,291,43.5444,-116.3130,0,"UTM:(11T 0555 4821 1000)",""
"UTM:(11T 0555 4828 1000)",2.2,1,298,43.6074,-116.3123,0,"UTM:(11T 0555 4828 1000)",""
"UTM:(11T 0555 4830 1000)",2.6,2,300,43.6255,-116.3120,0,"UTM:(11T 0555 4830 1000)",""
"UTM:(11T 0555 4831 1000)",2.7,5,301,43.6345,-116.3119,0,"UTM:(11T 0555 4831 1000)",""
"UTM:(11T 0555 4835 1000)",2.2,1,304,43.6705,-116.3116,0,"UTM:(11T 0555 4835 1000)",""
"UTM:(11T 0556 4821 1000)",2.6,2,291,43.5443,-116.3006,0,"UTM:(11T 0556 4821 1000)",""
"UTM:(11T 0556 4825 1000)",2.0,3,295,43.5803,-116.3002,0,"UTM:(11T 0556 4825 1000)",""
"UTM:(11T 0556 4826 1000)",2.5,1,296,43.5893,-116.3000,0,"UTM:(11T 0556 4826 1000)",""
"UTM:(11T 0556 4828 1000)",3.4,1,297,43.6073,-116.2998,0,"UTM:(11T 0556 4828 1000)",""
"UTM:(11T 0556 4830 1000)",2.2,1,299,43.6253,-116.2996,0,"UTM:(11T 0556 4830 1000)",""
"UTM:(11T 0556 4831 1000)",2.2,1,300,43.6343,-116.2996,0,"UTM:(11T 0556 4831 1000)",""
"UTM:(11T 0556 4832 1000)",2.7,1,301,43.6433,-116.2995,0,"UTM:(11T 0556 4832 1000)",""
"UTM:(11T 0557 4821 1000)",2.7,1,291,43.5442,-116.2883,0,"UTM:(11T 0557 4821 1000)",""
"UTM:(11T 0557 4826 1000)",2.7,2,295,43.5892,-116.2877,0,"UTM:(11T 0557 4826 1000)",""
"UTM:(11T 0557 4827 1000)",3.6,2,296,43.5983,-116.2876,0,"UTM:(11T 0557 4827 1000)",""
"UTM:(11T 0557 4832 1000)",2.7,1,301,43.6433,-116.2870,0,"UTM:(11T 0557 4832 1000)",""
"UTM:(11T 0557 4833 1000)",2.2,1,302,43.6522,-116.2869,0,"UTM:(11T 0557 4833 1000)",""
"UTM:(11T 0557 4836 1000)",2.1,1,304,43.6792,-116.2867,0,"UTM:(11T 0557 4836 1000)",""
"UTM:(11T 0558 4826 1000)",2.0,1,295,43.5892,-116.2754,0,"UTM:(11T 0558 4826 1000)",""
"UTM:(11T 0558 4827 1000)",2.0,1,296,43.5982,-116.2752,0,"UTM:(11T 0558 4827 1000)",""
"UTM:(11T 0558 4829 1000)",3.4,1,297,43.6162,-116.2749,0,"UTM:(11T 0558 4829 1000)",""
"UTM:(11T 0558 4830 1000)",3.1,2,298,43.6252,-116.2749,0,"UTM:(11T 0558 4830 1000)",""
"UTM:(11T 0558 4836 1000)",2.0,1,304,43.6792,-116.2742,0,"UTM:(11T 0558 4836 1000)",""
"UTM:(11T 0559 4830 1000)",2.0,1,298,43.6251,-116.2625,0,"UTM:(11T 0559 4830 1000)",""
"UTM:(11T 0559 4832 1000)",2.0,1,300,43.6431,-116.2622,0,"UTM:(11T 0559 4832 1000)",""
"UTM:(11T 0559 4833 1000)",3.1,2,301,43.6521,-116.2621,0,"UTM:(11T 0559 4833 1000)",""
"UTM:(11T 0559 4840 1000)",2.2,1,307,43.7152,-116.2614,0,"UTM:(11T 0559 4840 1000)",""
"UTM:(11T 0560 4823 1000)",2.2,1,291,43.5620,-116.2508,0,"UTM:(11T 0560 4823 1000)",""
"UTM:(11T 0560 4828 1000)",2.7,1,296,43.6071,-116.2503,0,"UTM:(11T 0560 4828 1000)",""
"UTM:(11T 0560 4829 1000)",2.0,1,297,43.6161,-116.2502,0,"UTM:(11T 0560 4829 1000)",""
"UTM:(11T 0560 4832 1000)",2.7,1,299,43.6431,-116.2499,0,"UTM:(11T 0560 4832 1000)",""
"UTM:(11T 0560 4834 1000)",2.2,2,301,43.6611,-116.2497,0,"UTM:(11T 0560 4834 1000)",""
"UTM:(11T 0561 4823 1000)",2.0,2,291,43.5619,-116.2385,0,"UTM:(11T 0561 4823 1000)",""
