# Columns: Geocoded box,CDI,No. of responses,Hypocentral distance,Latitude,Longitude,Suspect?,Standard deviation,City,State
"UTM:(11S 0354 3787 1000)",3.5,10,192,34.2184,-118.5796,0,0.255,"UTM:(11S 0354 3787 1000)",""
"UTM:(11S 0354 3795 1000)",3.1,1,185,34.2905,-118.5808,0,0.330,"UTM:(11S 0354 3795 1000)",""
"UTM:(11S 0354 3806 1000)",3.6,5,176,34.3897,-118.5828,0,0.293,"UTM:(11S 0354 3806 1000)",""
"UTM:(11S 0354 3808 1000)",2.7,1,174,34.4077,-118.5831,0,0.330,"UTM:(11S 0354 3808 1000)",""
"UTM:(11S 0355 3782 1000)",3.8,1,195,34.1735,-118.5678,0,0.330,"UTM:(11S 0355 3782 1000)",""
"UTM:(11S 0355 3785 1000)",2.2,1,193,34.2005,-118.5684,0,0.330,"UTM:(11S 0355 3785 1000)",""
"UTM:(11S 0355 3789 1000)",3.8,2,189,34.2366,-118.5691,0,0.320,"UTM:(11S 0355 3789 1000)",""
"UTM:(11S 0355 3808 1000)",3.8,2,174,34.4078,-118.5722,0,0.320,"UTM:(11S 0355 3808 1000)",""
"UTM:(11S 0355 3810 1000)",3.8,8,172,34.4259,-118.5726,0,0.269,"UTM:(11S 0355 3810 1000)",""
"UTM:(11S 0356 3781 1000)",2.2,1,196,34.1646,-118.5568,0,0.330,"UTM:(11S 0356 3781 1000)",""
"UTM:(11S 0356 3782 1000)",4.1,1,195,34.1736,-118.5571,0,0.330,"UTM:(11S 0356 3782 1000)",""
"UTM:(11S 0356 3783 1000)",3.1,1,194,34.1826,-118.5572,0,0.330,"UTM:(11S 0356 3783 1000)",""
"UTM:(11S 0356 3784 1000)",4.3,1,193,34.1916,-118.5574,0,0.330,"UTM:(11S 0356 3784 1000)",""
"UTM:(11S 0356 3785 1000)",3.2,3,192,34.2006,-118.5575,0,0.311,"UTM:(11S 0356 3785 1000)",""
"UTM:(11S 0356 3791 1000)",2.0,2,187,34.2548,-118.5585,0,0.320,"UTM:(11S 0356 3791 1000)",""
"UTM:(11S 0356 3792 1000)",2.7,1,186,34.2638,-118.5587,0,0.330,"UTM:(11S 0356 3792 1000)",""
"UTM:(11S 0356 3794 1000)",3.4,1,185,34.2818,-118.5591,0,0.330,"UTM:(11S 0356 3794 1000)",""
"UTM:(11S 0356 3796 1000)",4.1,1,183,34.2998,-118.5593,0,0.330,"UTM:(11S 0356 3796 1000)",""
"UTM:(11S 0356 3807 1000)",2.9,4,174,34.3990,-118.5611,0,0.302,"UTM:(11S 0356 3807 1000)",""
"UTM:(11S 0356 3810 1000)",2.2,2,171,34.4260,-118.5616,0,0.320,"UTM:(11S 0356 3810 1000)",""
"UTM:(11S 0356 3812 1000)",2.0,2,170,34.4441,-118.5620,0,0.320,"UTM:(11S 0356 3812 1000)",""
"UTM:(11S 0356 3815 1000)",4.3,2,167,34.4711,-118.5625,0,0.320,"UTM:(11S 0356 3815 1000)",""
"UTM:(11S 0357 3781 1000)",3.8,3,195,34.1647,-118.5460,0,0.311,"UTM:(11S 0357 3781 1000)",""
"UTM:(11S 0357 3782 1000)",2.8,6,194,34.1737,-118.5462,0,0.285,"UTM:(11S 0357 3782 1000)",""
"UTM:(11S 0357 3784 1000)",3.6,5,193,34.1917,-118.5465,0,0.293,"UTM:(11S 0357 3784 1000)",""
"UTM:(11S 0357 3785 1000)",4.2,5,192,34.2008,-118.5466,0,0.293,"UTM:(11S 0357 3785 1000)",""
"UTM:(11S 0357 3787 1000)",3.1,2,190,34.2188,-118.5470,0,0.320,"UTM:(11S 0357 3787 1000)",""
"UTM:(11S 0357 3789 1000)",3.3,7,188,34.2369,-118.5473,0,0.277,"UTM:(11S 0357 3789 1000)",""
"UTM:(11S 0357 3793 1000)",3.6,3,185,34.2729,-118.5479,0,0.311,"UTM:(11S 0357 3793 1000)",""
"UTM:(11S 0357 3806 1000)",2.7,4,174,34.3901,-118.5502,0,0.302,"UTM:(11S 0357 3806 1000)",""
"UTM:(11S 0357 3807 1000)",3.1,2,173,34.3991,-118.5503,0,0.320,"UTM:(11S 0357 3807 1000)",""
"UTM:(11S 0357 3809 1000)",3.9,8,172,34.4171,-118.5506,0,0.269,"UTM:(11S 0357 3809 1000)",""
"UTM:(11S 0357 3811 1000)",3.6,8,170,34.4352,-118.5510,0,0.269,"UTM:(11S 0357 3811 1000)",""
"UTM:(11S 0358 3782 1000)",3.4,4,194,34.1739,-118.5353,0,0.302,"UTM:(11S 0358 3782 1000)",""
"UTM:(11S 0358 3783 1000)",3.4,1,193,34.1829,-118.5354,0,0.330,"UTM:(11S 0358 3783 1000)",""
"UTM:(11S 0358 3784 1000)",3.4,3,192,34.1919,-118.5357,0,0.311,"UTM:(11S 0358 3784 1000)",""
"UTM:(11S 0358 3787 1000)",4.8,1,190,34.2189,-118.5361,0,0.330,"UTM:(11S 0358 3787 1000)",""
"UTM:(11S 0358 3789 1000)",2.9,4,188,34.2370,-118.5365,0,0.302,"UTM:(11S 0358 3789 1000)",""
"UTM:(11S 0358 3791 1000)",3.0,3,186,34.2550,-118.5368,0,0.311,"UTM:(11S 0358 3791 1000)",""
"UTM:(11S 0358 3794 1000)",3.1,3,184,34.2820,-118.5373,0,0.311,"UTM:(11S 0358 3794 1000)",""
"UTM:(11S 0358 3795 1000)",2.7,1,183,34.2910,-118.5375,0,0.330,"UTM:(11S 0358 3795 1000)",""
"UTM:(11S 0358 3805 1000)",3.7,10,174,34.3812,-118.5391,0,0.255,"UTM:(11S 0358 3805 1000)",""
"UTM:(11S 0358 3806 1000)",3.1,4,174,34.3902,-118.5393,0,0.302,"UTM:(11S 0358 3806 1000)",""
"UTM:(11S 0358 3812 1000)",3.4,2,169,34.4444,-118.5402,0,0.320,"UTM:(11S 0358 3812 1000)",""
"UTM:(11S 0359 3781 1000)",3.2,5,194,34.1650,-118.5243,0,0.293,"UTM:(11S 0359 3781 1000)",""
"UTM:(11S 0359 3782 1000)",3.1,2,193,34.1740,-118.5245,0,0.320,"UTM:(11S 0359 3782 1000)",""
"UTM:(11S 0359 3785 1000)",3.4,1,191,34.2010,-118.5249,0,0.330,"UTM:(11S 0359 3785 1000)",""
"UTM:(11S 0359 3788 1000)",4.6,1,188,34.2281,-118.5255,0,0.330,"UTM:(11S 0359 3788 1000)",""
"UTM:(11S 0359 3789 1000)",2.0,2,187,34.2371,-118.5257,0,0.320,"UTM:(11S 0359 3789 1000)",""
"UTM:(11S 0359 3792 1000)",3.8,1,185,34.2642,-118.5260,0,0.330,"UTM:(11S 0359 3792 1000)",""
"UTM:(11S 0359 3795 1000)",2.7,2,182,34.2912,-118.5265,0,0.320,"UTM:(11S 0359 3795 1000)",""
"UTM:(11S 0359 3806 1000)",4.1,1,173,34.3904,-118.5283,0,0.330,"UTM:(11S 0359 3806 1000)",""
"UTM:(11S 0359 3814 1000)",3.1,2,166,34.4625,-118.5297,0,0.320,"UTM:(11S 0359 3814 1000)",""
"UTM:(11S 0359 3816 1000)",3.1,2,165,34.4806,-118.5300,0,0.320,"UTM:(11S 0359 3816 1000)",""
"UTM:(11S 0360 3786 1000)",3.3,2,190,34.2102,-118.5143,0,0.320,"UTM:(11S 0360 3786 1000)",""
"UTM:(11S 0360 3787 1000)",3.1,2,189,34.2192,-118.5145,0,0.320,"UTM:(11S 0360 3787 1000)",""
"UTM:(11S 0360 3813 1000)",5.0,1,167,34.4536,-118.5187,0,0.330,"UTM:(11S 0360 3813 1000)",""
"UTM:(11S 0360 3814 1000)",3.8,1,166,34.4626,-118.5188,0,0.330,"UTM:(11S 0360 3814 1000)",""
"UTM:(11S 0360 3815 1000)",3.1,1,165,34.4716,-118.5189,0,0.330,"UTM:(11S 0360 3815 1000)",""
"UTM:(11S 0360 4048 1000)",2.5,1,135,36.5718,-118.5591,0,0.330,"UTM:(11S 0360 4048 1000)",""
"UTM:(11S 0361 3777 1000)",2.0,1,197,34.1292,-118.5019,0,0.330,"UTM:(11S 0361 3777 1000)",""
"UTM:(11S 0361 3786 1000)",3.4,1,189,34.2104,-118.5034,0,0.330,"UTM:(11S 0361 3786 1000)",""
"UTM:(11S 0361 3787 1000)",4.3,1,188,34.2193,-118.5035,0,0.330,"UTM:(11S 0361 3787 1000)",""
"UTM:(11S 0361 3790 1000)",2.7,2,186,34.2464,-118.5041,0,0.320,"UTM:(11S 0361 3790 1000)",""
"UTM:(11S 0361 3791 1000)",3.1,2,185,34.2554,-118.5043,0,0.320,"UTM:(11S 0361 3791 1000)",""
"UTM:(11S 0361 3792 1000)",3.8,3,184,34.2644,-118.5043,0,0.311,"UTM:(11S 0361 3792 1000)",""
"UTM:(11S 0361 3793 1000)",4.7,3,183,34.2734,-118.5045,0,0.311,"UTM:(11S 0361 3793 1000)",""
"UTM:(11S 0361 3795 1000)",2.7,1,181,34.2915,-118.5049,0,0.330,"UTM:(11S 0361 3795 1000)",""
"UTM:(11S 0361 3812 1000)",3.3,5,167,34.4447,-118.5076,0,0.293,"UTM:(11S 0361 3812 1000)",""
"UTM:(11S 0361 3814 1000)",3.1,2,165,34.4627,-118.5079,0,0.320,"UTM:(11S 0361 3814 1000)",""
"UTM:(11S 0361 3922 1000)",4.2,3,97,35.4363,-118.5258,0,0.311,"UTM:(11S 0361 3922 1000)",""
"UTM:(11S 0362 3777 1000)",3.8,1,196,34.1294,-118.4912,0,0.330,"UTM:(11S 0362 3777 1000)",""
"UTM:(11S 0362 3787 1000)",4.1,1,188,34.2195,-118.4928,0,0.330,"UTM:(11S 0362 3787 1000)",""
"UTM:(11S 0362 3788 1000)",3.1,2,187,34.2285,-118.4929,0,0.320,"UTM:(11S 0362 3788 1000)",""
"UTM:(11S 0362 3791 1000)",2.7,2,184,34.2555,-118.4933,0,0.320,"UTM:(11S 0362 3791 1000)",""
"UTM:(11S 0362 3792 1000)",3.6,6,183,34.2645,-118.4935,0,0.285,"UTM:(11S 0362 3792 1000)",""
"UTM:(11S 0362 3794 1000)",4.3,1,182,34.2826,-118.4939,0,0.330,"UTM:(11S 0362 3794 1000)",""
"UTM:(11S 0362 3795 1000)",4.1,1,181,34.2916,-118.4940,0,0.330,"UTM:(11S 0362 3795 1000)",""
"UTM:(11S 0362 3809 1000)",4.1,6,169,34.4178,-118.4963,0,0.285,"UTM:(11S 0362 3809 1000)",""
"UTM:(11S 0362 3810 1000)",3.4,1,168,34.4269,-118.4964,0,0.330,"UTM:(11S 0362 3810 1000)",""
"UTM:(11S 0362 3813 1000)",3.4,1,165,34.4539,-118.4968,0,0.330,"UTM:(11S 0362 3813 1000)",""
"UTM:(11S 0363 3779 1000)",3.1,1,194,34.1475,-118.4806,0,0.330,"UTM:(11S 0363 3779 1000)",""
