# Columns: Geocoded box,CDI,No. of responses,Hypocentral distance,Latitude,Longitude,Suspect?,City,State
"UTM:(11S 0311 3891 1000)",4.1,1,475,35.1488,-119.0693,0,"UTM:(11S 0311 3891 1000)",""
"UTM:(11S 0312 3905 1000)",2.0,2,484,35.2751,-119.0616,0,"UTM:(11S 0312 3905 1000)",""
"UTM:(11S 0312 3915 1000)",1.0,1,491,35.3652,-119.0638,0,"UTM:(11S 0312 3915 1000)",""
"UTM:(11S 0313 3791 1000)",2.1,1,412,34.2479,-119.0253,0,"UTM:(11S 0313 3791 1000)",""
"UTM:(11S 0314 3787 1000)",4.1,1,409,34.2120,-119.0136,0,"UTM:(11S 0314 3787 1000)",""
"UTM:(11S 0314 3911 1000)",4.0,1,486,35.3295,-119.0409,0,"UTM:(11S 0314 3911 1000)",""
"UTM:(11S 0315 3788 1000)",3.4,1,409,34.2212,-119.0029,0,"UTM:(11S 0315 3788 1000)",""
"UTM:(11S 0315 3789 1000)",2.0,4,409,34.2302,-119.0032,0,"UTM:(11S 0315 3789 1000)",""
"UTM:(11S 0316 3898 1000)",3.1,1,476,35.2128,-119.0160,0,"UTM:(11S 0316 3898 1000)",""
"UTM:(11S 0317 3789 1000)",3.1,1,408,34.2306,-118.9814,0,"UTM:(11S 0317 3789 1000)",""
"UTM:(11S 0317 3918 1000)",4.3,1,489,35.3932,-119.0095,0,"UTM:(11S 0317 3918 1000)",""
"UTM:(11S 0317 3922 1000)",2.7,1,492,35.4292,-119.0104,0,"UTM:(11S 0317 3922 1000)",""
"UTM:(11S 0322 3790 1000)",2.0,1,404,34.2405,-118.9274,0,"UTM:(11S 0322 3790 1000)",""
"UTM:(11S 0323 3791 1000)",2.0,2,404,34.2497,-118.9168,0,"UTM:(11S 0323 3791 1000)",""
"UTM:(11S 0324 4169 1000)",2.0,1,687,37.6559,-118.9895,0,"UTM:(11S 0324 4169 1000)",""
"UTM:(11S 0325 3793 1000)",3.4,1,403,34.2680,-118.8955,0,"UTM:(11S 0325 3793 1000)",""
"UTM:(11S 0325 3807 1000)",3.1,1,411,34.3942,-118.8982,0,"UTM:(11S 0325 3807 1000)",""
"UTM:(11S 0327 3784 1000)",3.4,1,396,34.1872,-118.8719,0,"UTM:(11S 0327 3784 1000)",""
"UTM:(11S 0327 3794 1000)",2.2,1,402,34.2774,-118.8740,0,"UTM:(11S 0327 3794 1000)",""
"UTM:(11S 0327 3806 1000)",3.1,1,409,34.3855,-118.8764,0,"UTM:(11S 0327 3806 1000)",""
"UTM:(11S 0331 3780 1000)",2.0,1,391,34.1518,-118.8278,0,"UTM:(11S 0331 3780 1000)",""
"UTM:(11S 0332 3765 1000)",2.2,1,382,34.0168,-118.8141,0,"UTM:(11S 0332 3765 1000)",""
"UTM:(11S 0332 3779 1000)",3.1,1,389,34.1430,-118.8168,0,"UTM:(11S 0332 3779 1000)",""
"UTM:(11S 0334 3794 1000)",2.2,1,396,34.2785,-118.7979,0,"UTM:(11S 0334 3794 1000)",""
"UTM:(11S 0335 3791 1000)",5.3,1,394,34.2516,-118.7865,0,"UTM:(11S 0335 3791 1000)",""
"UTM:(11S 0335 3794 1000)",1.0,1,395,34.2787,-118.7870,0,"UTM:(11S 0335 3794 1000)",""
"UTM:(11S 0338 3776 1000)",2.0,1,383,34.1169,-118.7511,0,"UTM:(11S 0338 3776 1000)",""
"UTM:(11S 0338 3793 1000)",3.1,1,392,34.2701,-118.7543,0,"UTM:(11S 0338 3793 1000)",""
"UTM:(11S 0338 3794 1000)",4.0,1,393,34.2792,-118.7544,0,"UTM:(11S 0338 3794 1000)",""
"UTM:(11S 0339 3779 1000)",2.2,1,384,34.1441,-118.7408,0,"UTM:(11S 0339 3779 1000)",""
"UTM:(11S 0340 3793 1000)",2.2,1,391,34.2704,-118.7326,0,"UTM:(11S 0340 3793 1000)",""
"UTM:(11S 0341 3794 1000)",2.2,1,390,34.2796,-118.7219,0,"UTM:(11S 0341 3794 1000)",""
"UTM:(11S 0342 3786 1000)",3.1,1,385,34.2077,-118.7096,0,"UTM:(11S 0342 3786 1000)",""
"UTM:(11S 0342 3795 1000)",2.7,2,390,34.2888,-118.7113,0,"UTM:(11S 0342 3795 1000)",""
"UTM:(11S 0343 3781 1000)",3.1,1,381,34.1627,-118.6978,0,"UTM:(11S 0343 3781 1000)",""
"UTM:(11S 0343 3795 1000)",3.8,1,389,34.2889,-118.7003,0,"UTM:(11S 0343 3795 1000)",""
"UTM:(11S 0344 3770 1000)",3.1,1,375,34.0637,-118.6850,0,"UTM:(11S 0344 3770 1000)",""
"UTM:(11S 0344 3777 1000)",2.0,1,378,34.1268,-118.6863,0,"UTM:(11S 0344 3777 1000)",""
"UTM:(11S 0344 3823 1000)",2.1,1,405,34.5415,-118.6945,0,"UTM:(11S 0344 3823 1000)",""
"UTM:(11S 0345 3793 1000)",3.4,2,386,34.2712,-118.6782,0,"UTM:(11S 0345 3793 1000)",""
"UTM:(11S 0346 3792 1000)",2.0,1,385,34.2623,-118.6672,0,"UTM:(11S 0346 3792 1000)",""
"UTM:(11S 0347 3785 1000)",2.0,1,380,34.1993,-118.6551,0,"UTM:(11S 0347 3785 1000)",""
"UTM:(11S 0347 3812 1000)",2.0,1,396,34.4428,-118.6600,0,"UTM:(11S 0347 3812 1000)",""
"UTM:(11S 0348 3777 1000)",2.7,2,375,34.1274,-118.6429,0,"UTM:(11S 0348 3777 1000)",""
"UTM:(11S 0348 3781 1000)",2.7,1,377,34.1634,-118.6436,0,"UTM:(11S 0348 3781 1000)",""
"UTM:(11S 0348 3785 1000)",3.1,2,379,34.1995,-118.6443,0,"UTM:(11S 0348 3785 1000)",""
"UTM:(11S 0348 3786 1000)",2.7,1,380,34.2085,-118.6445,0,"UTM:(11S 0348 3786 1000)",""
"UTM:(11S 0348 3787 1000)",3.4,1,381,34.2176,-118.6447,0,"UTM:(11S 0348 3787 1000)",""
"UTM:(11S 0349 3777 1000)",3.8,1,374,34.1275,-118.6320,0,"UTM:(11S 0349 3777 1000)",""
"UTM:(11S 0350 3785 1000)",2.0,1,378,34.1998,-118.6226,0,"UTM:(11S 0350 3785 1000)",""
"UTM:(11S 0350 3787 1000)",3.8,1,379,34.2178,-118.6230,0,"UTM:(11S 0350 3787 1000)",""
"UTM:(11S 0351 3783 1000)",3.9,2,376,34.1819,-118.6114,0,"UTM:(11S 0351 3783 1000)",""
"UTM:(11S 0351 3784 1000)",3.8,2,376,34.1910,-118.6115,0,"UTM:(11S 0351 3784 1000)",""
"UTM:(11S 0351 3785 1000)",3.6,2,377,34.2000,-118.6118,0,"UTM:(11S 0351 3785 1000)",""
"UTM:(11S 0351 3793 1000)",2.0,1,382,34.2721,-118.6131,0,"UTM:(11S 0351 3793 1000)",""
"UTM:(11S 0351 3814 1000)",2.2,1,394,34.4614,-118.6167,0,"UTM:(11S 0351 3814 1000)",""
"UTM:(11S 0352 3778 1000)",2.0,1,372,34.1370,-118.5998,0,"UTM:(11S 0352 3778 1000)",""
"UTM:(11S 0352 3780 1000)",2.0,2,373,34.1550,-118.6001,0,"UTM:(11S 0352 3780 1000)",""
"UTM:(11S 0352 3782 1000)",2.5,1,374,34.1731,-118.6004,0,"UTM:(11S 0352 3782 1000)",""
"UTM:(11S 0352 3783 1000)",3.4,5,375,34.1821,-118.6005,0,"UTM:(11S 0352 3783 1000)",""
"UTM:(11S 0352 3786 1000)",3.7,3,377,34.2091,-118.6010,0,"UTM:(11S 0352 3786 1000)",""
"UTM:(11S 0352 3788 1000)",2.5,1,378,34.2271,-118.6014,0,"UTM:(11S 0352 3788 1000)",""
"UTM:(11S 0352 3792 1000)",3.1,1,380,34.2632,-118.6021,0,"UTM:(11S 0352 3792 1000)",""
"UTM:(11S 0353 3781 1000)",2.7,1,373,34.1641,-118.5893,0,"UTM:(11S 0353 3781 1000)",""
