# Columns: ZIP/Location,CDI,No. of responses,Epicentral distance,Latitude,Longitude,Suspect?,City,State
"UTM:(10T 047 440 10000)",2.0,1,278,39.7946,-123.2920,0,"UTM:(10T 047 440 10000)",""
"UTM:(10T 047 468 10000)",2.2,1,241,42.3168,-123.3033,0,"UTM:(10T 047 468 10000)",""
"UTM:(10T 047 469 10000)",2.3,28,245,42.4069,-123.3038,0,"UTM:(10T 047 469 10000)",""
"UTM:(10T 047 470 10000)",2.7,17,250,42.4969,-123.3042,0,"UTM:(10T 047 470 10000)",""
"UTM:(10T 047 471 10000)",2.7,2,255,42.5870,-123.3046,0,"UTM:(10T 047 471 10000)",""
"UTM:(10T 047 473 10000)",2.1,4,266,42.7671,-123.3055,0,"UTM:(10T 047 473 10000)",""
"UTM:(10T 047 475 10000)",3.0,3,279,42.9472,-123.3064,0,"UTM:(10T 047 475 10000)",""
"UTM:(10T 047 476 10000)",2.7,1,285,43.0373,-123.3068,0,"UTM:(10T 047 476 10000)",""
"UTM:(10T 047 477 10000)",2.1,1,292,43.1273,-123.3073,0,"UTM:(10T 047 477 10000)",""
"UTM:(10T 047 478 10000)",2.6,8,298,43.2173,-123.3077,0,"UTM:(10T 047 478 10000)",""
"UTM:(10T 047 479 10000)",2.0,1,305,43.3074,-123.3082,0,"UTM:(10T 047 479 10000)",""
"UTM:(10T 047 480 10000)",2.5,1,312,43.3974,-123.3087,0,"UTM:(10T 047 480 10000)",""
"UTM:(10T 047 485 10000)",2.0,1,350,43.8477,-123.3110,0,"UTM:(10T 047 485 10000)",""
"UTM:(10T 047 493 10000)",2.0,1,416,44.5679,-123.3148,0,"UTM:(10T 047 493 10000)",""
"UTM:(10T 048 433 10000)",1.0,1,333,39.1641,-123.1736,0,"UTM:(10T 048 433 10000)",""
"UTM:(10T 048 469 10000)",2.0,4,254,42.4072,-123.1823,0,"UTM:(10T 048 469 10000)",""
"UTM:(10T 048 470 10000)",3.1,1,259,42.4972,-123.1825,0,"UTM:(10T 048 470 10000)",""
"UTM:(10T 048 471 10000)",3.4,1,264,42.5872,-123.1828,0,"UTM:(10T 048 471 10000)",""
"UTM:(10T 048 473 10000)",3.1,1,275,42.7674,-123.1833,0,"UTM:(10T 048 473 10000)",""
"UTM:(10T 048 475 10000)",2.7,1,286,42.9475,-123.1839,0,"UTM:(10T 048 475 10000)",""
"UTM:(10T 048 479 10000)",2.2,1,312,43.3077,-123.1849,0,"UTM:(10T 048 479 10000)",""
"UTM:(10T 048 500 10000)",3.1,1,482,45.1983,-123.1909,0,"UTM:(10T 048 500 10000)",""
"UTM:(10T 049 467 10000)",3.4,1,255,42.2271,-123.0606,0,"UTM:(10T 049 467 10000)",""
"UTM:(10T 049 469 10000)",3.1,1,263,42.4073,-123.0607,0,"UTM:(10T 049 469 10000)",""
"UTM:(10T 049 476 10000)",2.7,1,300,43.0376,-123.0614,0,"UTM:(10T 049 476 10000)",""
"UTM:(10T 049 478 10000)",3.1,1,313,43.2177,-123.0615,0,"UTM:(10T 049 478 10000)",""
"UTM:(10T 049 479 10000)",2.0,4,320,43.3078,-123.0616,0,"UTM:(10T 049 479 10000)",""
"UTM:(10T 049 484 10000)",2.0,1,355,43.7580,-123.0620,0,"UTM:(10T 049 484 10000)",""
"UTM:(10T 049 487 10000)",2.0,3,378,44.0281,-123.0624,0,"UTM:(10T 049 487 10000)",""
"UTM:(10T 049 488 10000)",1.0,1,386,44.1181,-123.0624,0,"UTM:(10T 049 488 10000)",""
"UTM:(10T 049 493 10000)",2.0,1,427,44.5683,-123.0629,0,"UTM:(10T 049 493 10000)",""
"UTM:(10T 049 497 10000)",1.0,1,461,44.9284,-123.0633,0,"UTM:(10T 049 497 10000)",""
"UTM:(10T 049 504 10000)",1.0,1,522,45.5585,-123.0640,0,"UTM:(10T 049 504 10000)",""
"UTM:(10T 050 425 10000)",2.5,2,407,38.4433,-122.9427,0,"UTM:(10T 050 425 10000)",""
"UTM:(10T 050 426 10000)",1.0,3,399,38.5333,-122.9426,0,"UTM:(10T 050 426 10000)",""
"UTM:(10T 050 431 10000)",2.0,1,361,38.9840,-122.9423,0,"UTM:(10T 050 431 10000)",""
"UTM:(10T 050 432 10000)",1.0,1,354,39.0740,-122.9421,0,"UTM:(10T 050 432 10000)",""
"UTM:(10T 050 459 10000)",2.2,2,246,41.5066,-122.9400,0,"UTM:(10T 050 459 10000)",""
"UTM:(10T 050 468 10000)",2.3,6,268,42.3172,-122.9393,0,"UTM:(10T 050 468 10000)",""
"UTM:(10T 050 469 10000)",2.0,2,272,42.4073,-122.9392,0,"UTM:(10T 050 469 10000)",""
"UTM:(10T 050 470 10000)",2.0,2,276,42.4973,-122.9391,0,"UTM:(10T 050 470 10000)",""
"UTM:(10T 050 487 10000)",1.0,1,385,44.0281,-122.9376,0,"UTM:(10T 050 487 10000)",""
"UTM:(10T 050 501 10000)",2.0,1,500,45.2884,-122.9362,0,"UTM:(10T 050 501 10000)",""
"UTM:(10T 050 504 10000)",1.0,1,527,45.5585,-122.9359,0,"UTM:(10T 050 504 10000)",""
"UTM:(10T 050 510 10000)",2.2,1,580,46.0986,-122.9352,0,"UTM:(10T 050 510 10000)",""
"UTM:(10T 051 424 10000)",1.0,1,421,38.3530,-122.8283,0,"UTM:(10T 051 424 10000)",""
"UTM:(10T 051 427 10000)",2.0,2,397,38.6234,-122.8277,0,"UTM:(10T 051 427 10000)",""
"UTM:(10T 051 431 10000)",3.3,2,368,38.9838,-122.8268,0,"UTM:(10T 051 431 10000)",""
"UTM:(10T 051 467 10000)",1.0,1,273,42.2270,-122.8182,0,"UTM:(10T 051 467 10000)",""
"UTM:(10T 051 468 10000)",2.3,4,277,42.3171,-122.8179,0,"UTM:(10T 051 468 10000)",""
"UTM:(10T 051 471 10000)",2.7,1,290,42.5872,-122.8171,0,"UTM:(10T 051 471 10000)",""
"UTM:(10T 051 486 10000)",2.7,1,383,43.9380,-122.8131,0,"UTM:(10T 051 486 10000)",""
"UTM:(10T 051 503 10000)",1.0,2,523,45.4683,-122.8081,0,"UTM:(10T 051 503 10000)",""
"UTM:(10T 051 504 10000)",2.0,1,531,45.5584,-122.8077,0,"UTM:(10T 051 504 10000)",""
"UTM:(10T 052 424 10000)",2.0,1,427,38.3528,-122.7138,0,"UTM:(10T 052 424 10000)",""
"UTM:(10T 052 425 10000)",1.0,3,419,38.4429,-122.7135,0,"UTM:(10T 052 425 10000)",""
"UTM:(10T 052 426 10000)",1.0,3,412,38.5331,-122.7132,0,"UTM:(10T 052 426 10000)",""
"UTM:(10T 052 429 10000)",4.1,2,389,38.8034,-122.7121,0,"UTM:(10T 052 429 10000)",""
"UTM:(10T 052 430 10000)",3.4,1,382,38.8935,-122.7116,0,"UTM:(10T 052 430 10000)",""
"UTM:(10T 052 431 10000)",2.0,1,375,38.9836,-122.7113,0,"UTM:(10T 052 431 10000)",""
"UTM:(10T 052 462 10000)",2.5,1,270,41.7764,-122.6992,0,"UTM:(10T 052 462 10000)",""
"UTM:(10T 052 467 10000)",1.0,1,283,42.2267,-122.6970,0,"UTM:(10T 052 467 10000)",""
"UTM:(10T 052 501 10000)",2.0,1,510,45.2880,-122.6812,0,"UTM:(10T 052 501 10000)",""
"UTM:(10T 052 503 10000)",2.0,1,528,45.4681,-122.6801,0,"UTM:(10T 052 503 10000)",""
"UTM:(10T 052 504 10000)",2.0,2,536,45.5580,-122.6796,0,"UTM:(10T 052 504 10000)",""
"UTM:(10T 052 505 10000)",2.0,1,545,45.6481,-122.6791,0,"UTM:(10T 052 505 10000)",""
"UTM:(10T 052 506 10000)",1.0,2,554,45.7381,-122.6786,0,"UTM:(10T 052 506 10000)",""
"UTM:(10T 052 540 10000)",1.0,1,867,48.7974,-122.6595,0,"UTM:(10T 052 540 10000)",""
"UTM:(10T 053 418 10000)",2.2,1,481,37.8117,-122.6024,0,"UTM:(10T 053 418 10000)",""
"UTM:(10T 053 419 10000)",1.0,1,473,37.9018,-122.6019,0,"UTM:(10T 053 419 10000)",""
"UTM:(10T 053 420 10000)",1.0,1,465,37.9920,-122.6013,0,"UTM:(10T 053 420 10000)",""
"UTM:(10T 053 421 10000)",1.0,2,457,38.0821,-122.6009,0,"UTM:(10T 053 421 10000)",""
"UTM:(10T 053 423 10000)",1.0,2,441,38.2623,-122.5999,0,"UTM:(10T 053 423 10000)",""
"UTM:(10T 053 429 10000)",1.0,1,396,38.8030,-122.5969,0,"UTM:(10T 053 429 10000)",""
"UTM:(10T 053 431 10000)",1.0,1,382,38.9832,-122.5958,0,"UTM:(10T 053 431 10000)",""
"UTM:(10T 053 461 10000)",3.0,3,278,41.6860,-122.5794,0,"UTM:(10T 053 461 10000)",""
"UTM:(10T 053 462 10000)",2.0,1,280,41.7760,-122.5789,0,"UTM:(10T 053 462 10000)",""
"UTM:(10T 053 465 10000)",3.1,1,286,42.0463,-122.5770,0,"UTM:(10T 053 465 10000)",""
"UTM:(10T 053 502 10000)",1.0,1,524,45.3777,-122.5529,0,"UTM:(10T 053 502 10000)",""
"UTM:(10T 053 503 10000)",2.0,2,533,45.4676,-122.5522,0,"UTM:(10T 053 503 10000)",""
"UTM:(10T 053 504 10000)",1.0,1,541,45.5577,-122.5515,0,"UTM:(10T 053 504 10000)",""
"UTM:(10T 053 505 10000)",2.2,1,550,45.6476,-122.5508,0,"UTM:(10T 053 505 10000)",""
"UTM:(10T 053 522 10000)",2.0,1,702,47.1775,-122.5380,0,"UTM:(10T 053 522 10000)",""
"UTM:(10T 053 523 10000)",2.0,2,711,47.2675,-122.5373,0,"UTM:(10T 053 523 10000)",""
"UTM:(10T 053 525 10000)",2.2,1,730,47.4475,-122.5357,0,"UTM:(10T 053 525 10000)",""
"UTM:(10T 053 539 10000)",2.0,1,861,48.7070,-122.5242,0,"UTM:(10T 053 539 10000)",""
"UTM:(10T 054 415 10000)",2.0,3,511,37.5409,-122.4906,0,"UTM:(10T 054 415 10000)",""
"UTM:(10T 054 417 10000)",2.0,15,495,37.7211,-122.4894,0,"UTM:(10T 054 417 10000)",""
"UTM:(10T 054 418 10000)",2.0,11,487,37.8113,-122.4887,0,"UTM:(10T 054 418 10000)",""
"UTM:(10T 054 419 10000)",2.0,4,479,37.9014,-122.4881,0,"UTM:(10T 054 419 10000)",""
"UTM:(10T 054 420 10000)",2.7,1,471,37.9915,-122.4874,0,"UTM:(10T 054 420 10000)",""
"UTM:(10T 054 449 10000)",1.0,1,298,40.6046,-122.4681,0,"UTM:(10T 054 449 10000)",""
"UTM:(10T 054 458 10000)",1.0,1,286,41.4153,-122.4615,0,"UTM:(10T 054 458 10000)",""
"UTM:(10T 054 503 10000)",1.0,2,538,45.4671,-122.4243,0,"UTM:(10T 054 503 10000)",""
"UTM:(10T 054 504 10000)",1.0,1,546,45.5571,-122.4234,0,"UTM:(10T 054 504 10000)",""
"UTM:(10T 054 527 10000)",2.2,1,752,47.6269,-122.4010,0,"UTM:(10T 054 527 10000)",""
"UTM:(10T 054 528 10000)",1.0,1,761,47.7168,-122.4000,0,"UTM:(10T 054 528 10000)",""
"UTM:(10T 055 412 10000)",2.0,2,542,37.2700,-122.3796,0,"UTM:(10T 055 412 10000)",""
"UTM:(10T 055 415 10000)",2.0,3,517,37.5404,-122.3774,0,"UTM:(10T 055 415 10000)",""
"UTM:(10T 055 416 10000)",2.0,4,509,37.6304,-122.3766,0,"UTM:(10T 055 416 10000)",""
"UTM:(10T 055 417 10000)",2.0,7,501,37.7206,-122.3759,0,"UTM:(10T 055 417 10000)",""
"UTM:(10T 055 418 10000)",2.0,17,493,37.8107,-122.3751,0,"UTM:(10T 055 418 10000)",""
"UTM:(10T 055 424 10000)",1.0,1,446,38.3514,-122.3705,0,"UTM:(10T 055 424 10000)",""
"UTM:(10T 055 448 10000)",2.0,1,310,40.5139,-122.3508,0,"UTM:(10T 055 448 10000)",""
"UTM:(10T 055 449 10000)",2.0,8,307,40.6040,-122.3499,0,"UTM:(10T 055 449 10000)",""
"UTM:(10T 055 456 10000)",3.9,3,296,41.2345,-122.3436,0,"UTM:(10T 055 456 10000)",""
"UTM:(10T 055 457 10000)",2.6,6,296,41.3246,-122.3427,0,"UTM:(10T 055 457 10000)",""
"UTM:(10T 055 458 10000)",1.0,1,296,41.4146,-122.3418,0,"UTM:(10T 055 458 10000)",""
"UTM:(10T 055 522 10000)",2.0,1,710,47.1761,-122.2741,0,"UTM:(10T 055 522 10000)",""
"UTM:(10T 055 524 10000)",1.0,1,728,47.3561,-122.2716,0,"UTM:(10T 055 524 10000)",""
"UTM:(10T 055 525 10000)",2.2,1,738,47.4461,-122.2704,0,"UTM:(10T 055 525 10000)",""
"UTM:(10T 055 527 10000)",2.0,3,756,47.6260,-122.2679,0,"UTM:(10T 055 527 10000)",""
"UTM:(10T 055 528 10000)",1.0,1,765,47.7160,-122.2666,0,"UTM:(10T 055 528 10000)",""
"UTM:(10T 055 529 10000)",2.0,1,774,47.8059,-122.2654,0,"UTM:(10T 055 529 10000)",""
"UTM:(10T 055 536 10000)",2.7,1,840,48.4357,-122.2563,0,"UTM:(10T 055 536 10000)",""
"UTM:(10T 056 414 10000)",2.0,4,531,37.4496,-122.2651,0,"UTM:(10T 056 414 10000)",""
"UTM:(10T 056 415 10000)",2.0,6,523,37.5397,-122.2642,0,"UTM:(10T 056 415 10000)",""
"UTM:(10T 056 417 10000)",1.0,1,507,37.7199,-122.2624,0,"UTM:(10T 056 417 10000)",""
"UTM:(10T 056 418 10000)",2.0,8,499,37.8101,-122.2615,0,"UTM:(10T 056 418 10000)",""
"UTM:(10T 056 419 10000)",1.0,5,491,37.9002,-122.2606,0,"UTM:(10T 056 419 10000)",""
"UTM:(10T 056 420 10000)",2.0,3,483,37.9903,-122.2597,0,"UTM:(10T 056 420 10000)",""
"UTM:(10T 056 421 10000)",1.0,1,475,38.0804,-122.2588,0,"UTM:(10T 056 421 10000)",""
"UTM:(10T 056 422 10000)",1.0,1,468,38.1706,-122.2579,0,"UTM:(10T 056 422 10000)",""
"UTM:(10T 056 423 10000)",1.0,1,460,38.2607,-122.2570,0,"UTM:(10T 056 423 10000)",""
"UTM:(10T 056 424 10000)",1.0,2,453,38.3508,-122.2561,0,"UTM:(10T 056 424 10000)",""
"UTM:(10T 056 444 10000)",1.0,2,334,40.1529,-122.2368,0,"UTM:(10T 056 444 10000)",""
"UTM:(10T 056 447 10000)",1.0,1,323,40.4231,-122.2338,0,"UTM:(10T 056 447 10000)",""
"UTM:(10T 056 450 10000)",2.2,1,315,40.6933,-122.2306,0,"UTM:(10T 056 450 10000)",""
"UTM:(10T 056 456 10000)",3.0,3,306,41.2338,-122.2243,0,"UTM:(10T 056 456 10000)",""
"UTM:(10T 056 523 10000)",2.0,3,724,47.2652,-122.1407,0,"UTM:(10T 056 523 10000)",""
"UTM:(10T 056 528 10000)",1.0,1,769,47.7151,-122.1333,0,"UTM:(10T 056 528 10000)",""
"UTM:(10T 057 410 10000)",1.0,1,570,37.0883,-122.1560,0,"UTM:(10T 057 410 10000)",""
"UTM:(10T 057 413 10000)",1.0,1,545,37.3586,-122.1531,0,"UTM:(10T 057 413 10000)",""
"UTM:(10T 057 414 10000)",2.0,8,537,37.4488,-122.1521,0,"UTM:(10T 057 414 10000)",""
"UTM:(10T 057 417 10000)",2.0,2,513,37.7191,-122.1489,0,"UTM:(10T 057 417 10000)",""
"UTM:(10T 057 419 10000)",1.0,1,497,37.8995,-122.1469,0,"UTM:(10T 057 419 10000)",""
"UTM:(10T 057 421 10000)",2.0,2,482,38.0797,-122.1448,0,"UTM:(10T 057 421 10000)",""
"UTM:(10T 057 423 10000)",1.0,1,467,38.2599,-122.1427,0,"UTM:(10T 057 423 10000)",""
"UTM:(10T 057 433 10000)",1.0,1,399,39.1609,-122.1319,0,"UTM:(10T 057 433 10000)",""
"UTM:(10T 057 529 10000)",2.0,1,782,47.8040,-121.9983,0,"UTM:(10T 057 529 10000)",""
"UTM:(10T 058 409 10000)",2.2,4,584,36.9973,-122.0447,0,"UTM:(10T 058 409 10000)",""
"UTM:(10T 058 411 10000)",2.0,1,567,37.1775,-122.0424,0,"UTM:(10T 058 411 10000)",""
"UTM:(10T 058 412 10000)",2.0,4,559,37.2677,-122.0413,0,"UTM:(10T 058 412 10000)",""
"UTM:(10T 058 413 10000)",2.0,7,551,37.3578,-122.0401,0,"UTM:(10T 058 413 10000)",""
"UTM:(10T 058 414 10000)",2.0,2,543,37.4479,-122.0390,0,"UTM:(10T 058 414 10000)",""
"UTM:(10T 058 415 10000)",1.0,3,535,37.5381,-122.0378,0,"UTM:(10T 058 415 10000)",""
"UTM:(10T 058 416 10000)",2.0,2,527,37.6282,-122.0367,0,"UTM:(10T 058 416 10000)",""
"UTM:(10T 058 419 10000)",2.9,4,504,37.8985,-122.0332,0,"UTM:(10T 058 419 10000)",""
