# Columns: ZIP/Location,CDI,No. of responses,Epicentral distance,Latitude,Longitude,Suspect?,City,State
"UTM:(11S 034 381 10000)",2.0,3,67,34.4649,-118.6876,0,"UTM:(11S 034 381 10000)",""
"UTM:(11S 034 395 10000)",2.7,1,201,35.7267,-118.7138,0,"UTM:(11S 034 395 10000)",""
"UTM:(11S 034 411 10000)",2.7,1,360,37.1685,-118.7458,0,"UTM:(11S 034 411 10000)",""
"UTM:(11S 035 376 10000)",3.3,34,26,34.0156,-118.5703,0,"UTM:(11S 035 376 10000)",""
"UTM:(11S 035 377 10000)",2.9,35,31,34.1058,-118.5720,0,"UTM:(11S 035 377 10000)",""
"UTM:(11S 035 378 10000)",3.2,326,38,34.1959,-118.5737,0,"UTM:(11S 035 378 10000)",""
"UTM:(11S 035 379 10000)",2.8,104,46,34.2861,-118.5754,0,"UTM:(11S 035 379 10000)",""
"UTM:(11S 035 380 10000)",2.0,20,54,34.3762,-118.5770,0,"UTM:(11S 035 380 10000)",""
"UTM:(11S 035 381 10000)",2.0,7,63,34.4663,-118.5787,0,"UTM:(11S 035 381 10000)",""
"UTM:(11S 035 426 10000)",2.7,1,509,38.5216,-118.6633,0,"UTM:(11S 035 426 10000)",""
"UTM:(11S 036 373 10000)",4.0,39,27,33.7464,-118.4575,0,"UTM:(11S 036 373 10000)",""
"UTM:(11S 036 374 10000)",3.9,13,20,33.8366,-118.4590,0,"UTM:(11S 036 374 10000)",""
"UTM:(11S 036 375 10000)",4.0,336,17,33.9268,-118.4605,0,"UTM:(11S 036 375 10000)",""
"UTM:(11S 036 376 10000)",3.6,1445,19,34.0170,-118.4621,0,"UTM:(11S 036 376 10000)",""
"UTM:(11S 036 377 10000)",3.4,322,25,34.1071,-118.4636,0,"UTM:(11S 036 377 10000)",""
"UTM:(11S 036 378 10000)",3.0,284,33,34.1972,-118.4651,0,"UTM:(11S 036 378 10000)",""
"UTM:(11S 036 379 10000)",2.4,51,42,34.2874,-118.4668,0,"UTM:(11S 036 379 10000)",""
"UTM:(11S 036 380 10000)",2.0,20,51,34.3775,-118.4683,0,"UTM:(11S 036 380 10000)",""
"UTM:(11S 036 381 10000)",2.0,11,61,34.4677,-118.4699,0,"UTM:(11S 036 381 10000)",""
"UTM:(11S 036 388 10000)",2.0,1,129,35.0987,-118.4811,0,"UTM:(11S 036 388 10000)",""
"UTM:(11S 036 389 10000)",2.0,1,139,35.1889,-118.4828,0,"UTM:(11S 036 389 10000)",""
"UTM:(11S 037 368 10000)",3.4,7,72,33.2968,-118.3425,0,"UTM:(11S 037 368 10000)",""
"UTM:(11S 037 369 10000)",3.2,7,62,33.3870,-118.3440,0,"UTM:(11S 037 369 10000)",""
"UTM:(11S 037 373 10000)",4.3,376,25,33.7477,-118.3495,0,"UTM:(11S 037 373 10000)",""
"UTM:(11S 037 374 10000)",4.8,1163,17,33.8379,-118.3510,0,"UTM:(11S 037 374 10000)",""
"UTM:(11S 037 375 10000)",4.4,567,13,33.9280,-118.3524,0,"UTM:(11S 037 375 10000)",""
"UTM:(11S 037 376 10000)",3.8,744,16,34.0182,-118.3538,0,"UTM:(11S 037 376 10000)",""
"UTM:(11S 037 377 10000)",3.4,799,23,34.1084,-118.3552,0,"UTM:(11S 037 377 10000)",""
"UTM:(11S 037 378 10000)",2.9,300,31,34.1985,-118.3567,0,"UTM:(11S 037 378 10000)",""
"UTM:(11S 037 379 10000)",2.0,15,41,34.2887,-118.3581,0,"UTM:(11S 037 379 10000)",""
"UTM:(11S 037 381 10000)",2.0,6,60,34.4690,-118.3610,0,"UTM:(11S 037 381 10000)",""
"UTM:(11S 037 388 10000)",2.0,1,129,35.1000,-118.3714,0,"UTM:(11S 037 388 10000)",""
"UTM:(11S 037 413 10000)",2.0,1,379,37.3533,-118.4114,0,"UTM:(11S 037 413 10000)",""
"UTM:(11S 038 373 10000)",4.1,147,26,33.7489,-118.2416,0,"UTM:(11S 038 373 10000)",""
"UTM:(11S 038 374 10000)",5.1,202,19,33.8390,-118.2429,0,"UTM:(11S 038 374 10000)",""
"UTM:(11S 038 375 10000)",4.6,93,16,33.9291,-118.2442,0,"UTM:(11S 038 375 10000)",""
"UTM:(11S 038 376 10000)",3.7,272,18,34.0194,-118.2455,0,"UTM:(11S 038 376 10000)",""
"UTM:(11S 038 377 10000)",3.2,486,24,34.1095,-118.2468,0,"UTM:(11S 038 377 10000)",""
"UTM:(11S 038 378 10000)",2.9,158,32,34.1997,-118.2481,0,"UTM:(11S 038 378 10000)",""
"UTM:(11S 038 379 10000)",2.2,23,41,34.2899,-118.2494,0,"UTM:(11S 038 379 10000)",""
"UTM:(11S 038 381 10000)",2.7,1,60,34.4702,-118.2522,0,"UTM:(11S 038 381 10000)",""
"UTM:(11S 038 383 10000)",2.0,9,80,34.6504,-118.2549,0,"UTM:(11S 038 383 10000)",""
"UTM:(11S 039 373 10000)",4.7,617,31,33.7499,-118.1336,0,"UTM:(11S 039 373 10000)",""
"UTM:(11S 039 374 10000)",4.8,591,25,33.8400,-118.1349,0,"UTM:(11S 039 374 10000)",""
"UTM:(11S 039 375 10000)",4.6,219,23,33.9302,-118.1360,0,"UTM:(11S 039 375 10000)",""
"UTM:(11S 039 376 10000)",3.6,106,24,34.0204,-118.1372,0,"UTM:(11S 039 376 10000)",""
"UTM:(11S 039 377 10000)",2.8,308,29,34.1106,-118.1384,0,"UTM:(11S 039 377 10000)",""
"UTM:(11S 039 378 10000)",2.2,105,36,34.2007,-118.1396,0,"UTM:(11S 039 378 10000)",""
"UTM:(11S 039 381 10000)",2.4,3,63,34.4712,-118.1433,0,"UTM:(11S 039 381 10000)",""
"UTM:(11S 039 382 10000)",2.0,3,72,34.5614,-118.1446,0,"UTM:(11S 039 382 10000)",""
"UTM:(11S 039 383 10000)",2.0,4,82,34.6516,-118.1458,0,"UTM:(11S 039 383 10000)",""
"UTM:(11S 039 385 10000)",2.0,3,101,34.8319,-118.1482,0,"UTM:(11S 039 385 10000)",""
"UTM:(11S 040 372 10000)",4.0,271,44,33.6607,-118.0246,0,"UTM:(11S 040 372 10000)",""
"UTM:(11S 040 373 10000)",4.0,489,38,33.7508,-118.0256,0,"UTM:(11S 040 373 10000)",""
