OBJECTID	TARGET_FID	LON	LAT	MAX_MMI
57	15237	-120.7540084	41.91282048	2.2
58	14665	-120.0394453	41.57773616	2.0
59	218	-115.3060977	32.67922768	
60	2531	-115.9031059	34.14233	6.8
61	7021	-118.9573779	36.99155291	6.5
62	9987	-123.4489543	38.8340565	8.2
63	8056	-119.7658616	37.63456121	4.6
64	645	-118.5888453	32.94828586	
65	8484	-122.9969587	37.94775068	7.4
66	10813	-122.1913129	39.32219839	4.6
67	9562	-119.9455247	38.55360398	3.8
68	7383	-117.6997365	37.20649991	7.4
69	7364	-119.4065355	37.20649991	4.8
70	7802	-121.7421552	37.49214606	6.3
71	1733	-114.6454645	33.62029027	5.3
72	5624	-119.4065355	36.12568658	6.2
73	14059	-122.3709759	41.24083088	3.9
74	7265	-117.8793995	37.13491868	7.8
75	9555	-120.5743454	38.55360398	4.9
76	2992	-116.1726005	34.43920062	7.3
77	8300	-118.6878833	37.77670394	6.7
78	8030	-122.1014814	37.63456121	9.0
79	3308	-119.0472094	34.66116407	8.0
80	3674	-117.4302419	34.88253456	6.3
81	9293	-123.2278572	38.44632175	8.3
82	2395	-117.6997365	34.06794862	6.5
83	7217	-122.1913129	37.13491868	7.3
84	8142	-122.4608075	37.70566666	9.0
85	11859	-122.0116498	39.94483687	3.8
86	8642	-119.2268724	37.98940647	4.0
87	2063	-116.262432	33.84441261	4.8
88	6992	-121.5624922	36.99155291	8.2
89	6778	-119.9455247	36.8479164	5.3
90	7583	-120.5743454	37.34945884	6.0
91	4499	-116.262432	35.39675021	6.6
92	5302	-117.0709158	35.90770736	6.9
93	4273	-115.7234428	35.25016306	6.2
94	10705	-121.4726607	39.25267069	4.1
95	1963	-114.8251276	33.76977022	2.7
96	9907	-120.2150193	38.76404647	4.2
97	14895	-120.2150193	41.71195789	2.1
98	15205	-123.6286173	41.91282048	3.4
99	13600	-121.9218183	40.97007905	3.4
100	12080	-122.9997966	40.08243916	4.9
101	2167	-117.3404104	33.91898986	6.0
102	15358	-120.3048177	41.96958236	1.6
103	13009	-122.9099651	40.63007062	6.0
104	2248	-120.474817	34.00707283	
105	12308	-123.3591228	40.2197639	5.7
106	1468	-117.6099049	33.47055056	5.4
107	12791	-121.6523237	40.49357985	2.5
108	4261	-116.8014212	35.25016306	6.9
109	10579	-122.3709759	39.18307398	4.2
110	4114	-119.5861986	35.17676988	6.0
111	319	-116.6217581	32.71797609	4.6
112	15105	-122.1913129	41.84593627	3.3
113	8410	-119.2268724	37.84767304	4.6
114	6311	-120.2150193	36.55983269	5.3
115	9427	-121.6523237	38.48331914	5.0
116	11524	-120.84384	39.73791355	3.8
117	13502	-120.3048508	40.90221672	3.0
118	4131	-118.0590626	35.17676988	6.2
119	5512	-119.0472094	36.05309384	7.5
120	10369	-120.3946823	39.04367366	4.1
121	663	-116.9810842	32.94442438	6.1
122	8021	-122.9512705	37.66591598	7.1
123	4612	-116.5319266	35.46994406	6.7
124	13017	-122.1913129	40.63007062	3.0
125	4260	-116.8912527	35.25016306	6.9
126	13621	-120.0399993	40.97005402	2.6
127	12199	-122.7303021	40.15113624	4.0
128	546	-117.0709158	32.86900579	5.3
129	3064	-120.1251877	34.51325422	5.1
130	11980	-121.5624922	40.01367269	3.8
131	14193	-120.7540084	41.30834436	3.3
132	682	-115.2742852	32.94442438	3.3
133	9197	-121.4726607	38.34254367	6.1
134	2536	-115.4539483	34.14233	3.0
135	2053	-117.1607473	33.84441261	5.7
136	1358	-117.0709158	33.39558348	5.3
137	7337	-121.8319868	37.20649991	7.8
138	6342	-117.4302419	36.55983269	7.0
139	2496	-119.0472094	34.14233	6.2
140	5836	-121.2031661	36.2706708	6.2
141	4581	-119.316704	35.46994406	7.0
142	9666	-121.023503	38.62382017	4.0
143	9902	-120.6641769	38.76404647	5.4
144	10794	-123.8701805	39.32632582	8.2
145	4348	-119.4065355	35.32348985	5.3
146	15208	-123.3591228	41.91282048	3.5
147	10601	-120.3946823	39.18307398	3.9
148	4627	-115.2102014	35.44857066	2.4
149	12442	-121.7421552	40.28832212	2.4
150	14779	-120.2150193	41.64486375	2.2
151	6083	-119.8556931	36.41538631	5.0
152	3692	-115.8132744	34.88253456	6.3
153	15115	-121.2929976	41.84593627	2.5
154	3347	-115.5437798	34.66116407	5.7
155	11968	-122.6404705	40.01367269	4.1
156	4848	-116.1726005	35.61613202	6.4
157	8630	-120.3048508	37.98940647	4.3
158	11615	-123.0896282	39.80695727	5.6
159	11040	-122.6404705	39.46104663	3.5
160	9296	-122.9997966	38.41296569	8.3
161	11629	-121.8319868	39.80695727	4.5
162	7943	-119.496367	37.56338767	4.6
163	3798	-116.7115897	34.95619266	7.5
164	3899	-118.0590626	35.02978462	6.6
165	903	-116.262432	33.09506866	4.4
166	12777	-122.9099651	40.49357985	3.5
167	6677	-118.5980518	36.77599673	7.6
168	7836	-118.6878833	37.49214606	7.1
169	2835	-119.8556617	34.3792581	5.4
170	3238	-114.9149591	34.58724206	2.6
171	12895	-122.7303021	40.56186003	2.8
172	10100	-123.7182273	38.90417183	8.5
173	1585	-117.5200734	33.54545285	5.3
174	6235	-116.6217581	36.48764317	6.5
175	9906	-120.3048508	38.76404647	5.0
176	9771	-122.0116498	38.69396768	5.3
177	10017	-120.7540084	38.8340565	5.0
178	7606	-118.5082202	37.34945884	7.8
179	2309	-115.0047906	33.99350188	2.8
