# Columns: Geocoded box,CDI,No. of responses,Hypocentral distance,Latitude,Longitude,Suspect?,City,State
"UTM:(11S 0239 3816 1000)",2.2,1,199,34.4572,-119.8357,0,"UTM:(11S 0239 3816 1000)",""
"UTM:(11S 0240 3812 1000)",4.1,1,197,34.4214,-119.8237,0,"UTM:(11S 0240 3812 1000)",""
"UTM:(11S 0240 3813 1000)",3.0,33,197,34.4305,-119.8239,0,"UTM:(11S 0240 3813 1000)",""
"UTM:(11S 0240 3814 1000)",3.4,8,198,34.4395,-119.8243,0,"UTM:(11S 0240 3814 1000)",""
"UTM:(11S 0240 3815 1000)",3.0,6,198,34.4485,-119.8246,0,"UTM:(11S 0240 3815 1000)",""
"UTM:(11S 0240 3816 1000)",3.4,1,198,34.4575,-119.8248,0,"UTM:(11S 0240 3816 1000)",""
"UTM:(11S 0241 3813 1000)",2.9,14,196,34.4306,-119.8131,0,"UTM:(11S 0241 3813 1000)",""
"UTM:(11S 0241 3815 1000)",2.2,1,197,34.4487,-119.8137,0,"UTM:(11S 0241 3815 1000)",""
"UTM:(11S 0241 3816 1000)",2.7,5,197,34.4577,-119.8140,0,"UTM:(11S 0241 3816 1000)",""
"UTM:(11S 0242 3812 1000)",2.0,1,195,34.4219,-119.8019,0,"UTM:(11S 0242 3812 1000)",""
"UTM:(11S 0242 3813 1000)",2.8,3,195,34.4309,-119.8022,0,"UTM:(11S 0242 3813 1000)",""
"UTM:(11S 0242 3814 1000)",3.1,4,196,34.4399,-119.8025,0,"UTM:(11S 0242 3814 1000)",""
"UTM:(11S 0242 3815 1000)",2.8,3,196,34.4489,-119.8028,0,"UTM:(11S 0242 3815 1000)",""
"UTM:(11S 0242 4067 1000)",2.2,1,362,36.7184,-119.8831,0,"UTM:(11S 0242 4067 1000)",""
"UTM:(11S 0243 3813 1000)",3.3,3,194,34.4312,-119.7913,0,"UTM:(11S 0243 3813 1000)",""
"UTM:(11S 0243 3814 1000)",3.1,1,195,34.4402,-119.7916,0,"UTM:(11S 0243 3814 1000)",""
"UTM:(11S 0243 3815 1000)",2.7,2,195,34.4492,-119.7919,0,"UTM:(11S 0243 3815 1000)",""
"UTM:(11S 0243 3816 1000)",2.2,2,195,34.4582,-119.7922,0,"UTM:(11S 0243 3816 1000)",""
"UTM:(11S 0243 3821 1000)",2.0,1,197,34.5033,-119.7937,0,"UTM:(11S 0243 3821 1000)",""
"UTM:(11S 0243 3825 1000)",3.4,1,198,34.5392,-119.7949,0,"UTM:(11S 0243 3825 1000)",""
"UTM:(11S 0244 3814 1000)",2.7,5,194,34.4404,-119.7807,0,"UTM:(11S 0244 3814 1000)",""
"UTM:(11S 0244 3815 1000)",2.7,1,194,34.4494,-119.7810,0,"UTM:(11S 0244 3815 1000)",""
"UTM:(11S 0244 4080 1000)",2.0,1,372,36.8359,-119.8650,0,"UTM:(11S 0244 4080 1000)",""
"UTM:(11S 0245 3814 1000)",3.9,2,193,34.4407,-119.7699,0,"UTM:(11S 0245 3814 1000)",""
"UTM:(11S 0245 3815 1000)",2.0,2,193,34.4497,-119.7702,0,"UTM:(11S 0245 3815 1000)",""
