OBJECTID	TARGET_FID	LON	LAT	MAX_MMI	EARTHQUAKE
872	4582	-119.2268724	35.46994406	5.8	Historic MMI\pt__1952b
873	12538	-123.5387858	40.35681087		
874	545	-117.1607473	32.86900579	6.4	Historic MMI\pt__1942
875	1830	-116.3522635	33.69506275	6.3	Historic MMI\pt__1992a
876	13025	-121.4726607	40.63007062		
877	12457	-120.3946823	40.28832212	3.1	DYFI\ca_2001
878	6075	-120.5743454	36.41538631	6.5	Historic MMI\pt__1906
879	14652	-121.2031661	41.57769967		
880	4023	-117.3404104	35.10331038		
881	327	-115.9031059	32.71797609	5	Historic MMI\pt__1968
882	12206	-122.1014814	40.15113624	2.5	DYFI\ca_2001
883	6926	-117.093922	36.90037302		
884	15096	-122.9997966	41.84593627		
885	10235	-122.0116498	38.97387013	2	DYFI\ca_2001
886	3115	-115.5437798	34.51325422	4	Historic MMI\pt__1954a
887	14642	-122.1014814	41.57769967		
888	4619	-115.9031059	35.46994406		
889	4601	-117.5200734	35.46994406		
890	6901	-119.316704	36.91976847		
891	3436	-117.9692311	34.73502021	4.8	DYFI\ca_2019b
892	13620	-120.1251877	40.97007905		
893	5648	-117.2505788	36.12568658		
894	2482	-120.3361911	34.1151484		
895	11977	-121.8319868	40.01367269		
896	6874	-121.7421552	36.91976847	8	Historic MMI\pt__1984a
897	7480	-119.4065355	37.27801331	2.2	DYFI\ca_2004
898	3313	-118.5980518	34.66116407	3.3	DYFI\ca_2003
899	6408	-121.9218183	36.63195482	6.8	Historic MMI\pt__1984a
900	13271	-120.2150193	40.76628298		
901	14198	-120.3048508	41.30834436		
902	12804	-120.4845138	40.49357985		
903	8274	-121.023503	37.77670394	5	Historic MMI\pt__1952a
904	334	-115.2746706	32.71848028		
905	10359	-121.2929976	39.04367366	3	DYFI\ca_2019b
906	13384	-120.4845138	40.83428469		
907	13957	-121.1133345	41.17324759		
908	14418	-121.3828291	41.44316177		
909	8291	-119.496367	37.77670394		
910	6063	-121.6523237	36.41538631	3.9	DYFI\ca_2007
911	3699	-115.1844537	34.88253456		
912	10128	-121.2031661	38.90399773	3.3	DYFI\ca_2001
913	11060	-120.84384	39.46104663	4	Historic MMI\pt__1906
914	11765	-120.0398094	39.87599397		
915	5413	-117.5200734	35.98043408		
916	7226	-121.3828291	37.13491868		
917	4378	-116.7115897	35.32348985	5.8	DYFI\ca_2004
918	5873	-117.8793995	36.2706708		
919	4138	-117.4302419	35.17676988		
920	14042	-123.8981119	41.24083088		
921	6425	-120.3946823	36.63195482		
922	918	-114.9149591	33.09506866		
923	12651	-123.8082804	40.42523013		
924	5183	-117.3404104	35.83491374		
925	1010	-117.0709158	33.17029419	5.4	DYFI\ca_2019b
926	3553	-117.8793995	34.80881039		
927	7959	-118.0590884	37.56336719		
928	11875	-120.5743454	39.94483687		
929	14195	-120.5743454	41.30834436		
930	14532	-121.5624922	41.51046567		
931	2887	-115.1844537	34.36508134		
932	8981	-120.0353562	38.20149409	4.8	Historic MMI\pt__1954b
933	7244	-119.7658616	37.13491868	3	Historic MMI\pt__1952a
934	10101	-123.6286173	38.90399773		
935	8851	-121.2929976	38.13086661	5.6	Historic MMI\pt__1954b
936	8626	-120.6641769	37.98940647	4.8	Historic MMI\pt__1984a
937	5600	-121.5624922	36.12568658		
938	3811	-115.5437798	34.95619266		
939	4716	-117.6099049	35.54307135	5.3	DYFI\ca_2005a
940	6093	-118.9573779	36.41538631	7.1	DYFI\ca_2019b
941	5631	-118.7777148	36.12568658	5	Historic MMI\pt__1947
942	10574	-122.8201336	39.18307398		
943	3010	-114.555633	34.43920062		
944	9565	-119.6760301	38.55360398		
945	12223	-120.5743454	40.15113624		
946	9999	-122.3709759	38.8340565	6	Historic MMI\pt__1906
947	6536	-120.84384	36.70400952		
948	13604	-121.5624922	40.97007905		
949	10925	-122.550639	39.39165705	4	Historic MMI\pt__1906
950	11729	-123.2692912	39.87593172		
951	9872	-123.3591228	38.76404647	4.1	DYFI\ca2014
952	2854	-118.1488941	34.36508134		
953	5843	-120.5743454	36.2706708	3.5	Historic MMI\pt__1952a
954	6523	-121.9925796	36.70650425		
955	4594	-118.1488941	35.46994406		
956	6649	-121.1133345	36.77599673		
957	13389	-120.0396234	40.83424693		
958	14851	-124.1675774	41.71197916		
959	13951	-121.6523237	41.17324759		
960	10825	-121.1133345	39.32219839	3.3	DYFI\ca_2001
961	12096	-121.5624922	40.08243916	1	Historic MMI\pt__1952a
962	10932	-121.9218183	39.39165705		
963	685	-115.0047906	32.94442438		
964	14973	-123.6286173	41.77898207		
965	7142	-118.5082202	37.06326967		
966	6303	-120.9336715	36.55983269		
967	14048	-123.3591228	41.24083088		
968	7027	-118.4183887	36.99155291		
969	13837	-121.4726607	41.10559451	4	Historic MMI\pt__1873
970	8151	-121.6523237	37.70566666	3.1	DYFI\ca_2007
971	7216	-122.2811444	37.13491868	8	Historic MMI\pt__1906
972	8143	-122.3709759	37.70566666	5.8	Historic MMI\pt__1984a
973	10479	-120.9336715	39.11340829	4.8	Historic MMI\pt__1954b
974	196	-117.2475182	32.64879652	4	Historic MMI\pt__1933
975	2781	-114.2861384	34.29089643		
976	14636	-122.6404705	41.57769967		
977	3578	-115.6336113	34.80881039		
978	8650	-118.5380971	37.96482555		
979	761	-118.5979775	33.0198372		
980	8173	-119.6760301	37.70566666		
981	7333	-122.1913129	37.20649991	4.2	DYFI\ca_2007
982	9411	-123.0896282	38.48331914	8	Historic MMI\pt__1906
983	4453	-120.3946823	35.39675021		
984	13596	-122.2811444	40.97007905		
985	7359	-119.8556931	37.20649991	4	Historic MMI\pt__1952a
986	2614	-118.8675463	34.21664596	6.8	Historic MMI\pt__1952a
987	12882	-123.8981119	40.56186003		
988	5295	-117.6997365	35.90770736		
989	5515	-118.7777148	36.05309384		
990	4843	-116.6217581	35.61613202		
991	8164	-120.4845138	37.70566666		
992	3638	-120.6630401	34.88352285		
993	549	-116.8014212	32.86900579	6.3	Historic MMI\pt__1968
994	11992	-120.4845138	40.01367269		
995	6780	-119.7658616	36.8479164	5.1	Historic MMI\pt__1952a
996	1614	-114.9149591	33.54545285	2.7	DYFI\ca_2010
997	10580	-122.2811444	39.18307398	1	Historic MMI\pt__1873
998	4355	-118.7777148	35.32348985	6.5	Historic MMI\pt__1952a
999	9301	-122.550639	38.41296569	7.5	Historic MMI\pt__1906
1000	7696	-120.84384	37.42083643	5	DYFI\ca_2019b
1001	14524	-122.2811444	41.51046567		
1002	5429	-116.082769	35.98043408		
1003	8296	-119.0472094	37.77670394	5.8	Historic MMI\pt__1980a
1004	10453	-123.2692912	39.11340829		
1005	11276	-122.2811444	39.59961844		
1006	4334	-120.6641769	35.32348985	6.1	Historic MMI\pt__1952a
1007	5620	-119.7658616	36.12568658		
1008	2726	-119.2268724	34.29089643	6.1	Historic MMI\pt__1947
1009	11411	-120.5743454	39.6688006		
1010	7689	-121.4726607	37.42083643	5	Historic MMI\pt__1906
1011	13590	-122.8201336	40.97007905		
1012	5616	-120.1251877	36.12568658		
1013	11610	-123.5387858	39.80695727		
1014	5944	-121.9214147	36.34328942	5.5	Historic MMI\pt__1906
